DateTime,Entries,UniqueIPs
1503642606,39145,39145
1503643507,39122,39122
1503644407,39055,39055
1503645307,39049,39049
1503646207,39028,39028
1503647105,39006,39006
1503648005,38917,38917
1503648906,38890,38890
1503649805,38876,38876
1503650705,38810,38810
1503651605,38789,38789
1503652505,38683,38683
1503653405,38561,38561
1503654305,38385,38385
1503655206,38190,38190
1503656106,38017,38017
1503657005,37883,37883
1503657906,37857,37857
1503658805,37865,37865
1503659706,38066,38066
1503660605,38142,38142
1503661505,38234,38234
1503662406,38423,38423
1503663305,38644,38644
1503664206,38862,38862
1503665105,39102,39102
1503666005,39387,39387
1503666906,39540,39540
1503667806,39611,39611
1503668706,39603,39603
1503669606,39568,39568
1503670506,39528,39528
1503671406,39516,39516
1503672306,39484,39484
1503673206,39443,39443
1503674106,39423,39423
1503675006,39357,39357
1503675906,39325,39325
1503676805,39295,39295
1503677706,39262,39262
1503678607,39195,39195
1503679507,39172,39172
1503680407,39114,39114
1503681306,39067,39067
1503682206,39042,39042
1503683106,38995,38995
1503684006,38972,38972
1503684906,38930,38930
1503685807,38872,38872
1503686706,38855,38855
1503687606,38854,38854
1503688506,38844,38844
1503689406,38828,38828
1503690306,38817,38817
1503691206,38791,38791
1503692106,38760,38760
1503693006,38740,38740
1503693905,38693,38693
1503694805,38663,38663
1503695705,38637,38637
1503696604,38622,38622
1503697504,38600,38600
1503698404,38585,38585
1503699304,38568,38568
1503700205,38550,38550
1503701104,38529,38529
1503702904,38486,38486
1503703804,38446,38446
1503704703,38413,38413
1503705604,38388,38388
1503706504,38352,38352
1503707403,38321,38321
1503708303,38294,38294
1503709203,38267,38267
1503710103,38178,38178
1503711004,37081,37081
1503711904,36216,36216
1503712803,35048,35048
1503713703,33866,33866
1503714603,32944,32944
1503715503,31894,31894
1503716403,31012,31012
1503717303,30149,30149
1503718203,29376,29376
1503719103,28341,28341
1503720002,27541,27541
1503720903,26801,26801
1503721803,26107,26107
1503722702,25183,25183
1503723603,24300,24300
1503724502,23798,23798
1503725403,23149,23149
1503726302,22614,22614
1503727203,22135,22135
1503728102,21669,21669
1503729002,20957,20957
1503729902,20366,20366
1503730803,19756,19756
1503731702,19211,19211
1503732602,18915,18915
1503733502,18509,18509
1503734402,18026,18026
1503735302,17600,17600
1503736202,17075,17075
1503737102,16571,16571
1503738002,16260,16260
1503738902,15655,15655
1503739802,15036,15036
1503740702,14410,14410
1503741602,13814,13814
1503742502,13193,13193
1503743401,12674,12674
1503744302,12159,12159
1503745202,11577,11577
1503746101,11191,11191
1503747002,10746,10746
1503747902,10233,10233
1503748802,9787,9787
1503749701,9381,9381
1503750602,8998,8998
1503751502,8751,8751
1503752401,8371,8371
1503753302,8358,8358
1503754201,8238,8238
1503755101,7842,7842
1503756001,7528,7528
1503756901,7295,7295
1503757801,7056,7056
1503758701,6762,6762
1503759601,6330,6330
1503760501,5889,5889
1503761402,5853,5853
1503762301,5674,5674
1503763201,5462,5462
1503764101,5255,5255
1503765001,5028,5028
1503765902,4706,4706
1503766801,4593,4593
1503767701,4586,4586
1503768602,4541,4541
1503769501,4486,4486
1503770401,4493,4493
1503771301,4442,4442
1503772201,4378,4378
1503773101,4253,4253
1503774001,4253,4253
1503774902,4244,4244
1503775801,4069,4069
1503776701,4042,4042
1503777602,4028,4028
1503778501,3966,3966
1503779401,3934,3934
1503780301,3939,3939
1503781201,3895,3895
1503782102,3902,3902
1503783001,3864,3864
1503783901,3762,3762
1503784802,9782,9782
1503785701,10210,10210
1503786602,10630,10630
1503787501,10934,10934
1503788402,11293,11293
1503789302,11707,11707
1503790201,12026,12026
1503791102,12325,12325
1503792001,12644,12644
1503792902,12907,12907
1503793801,13103,13103
1503794702,13313,13313
1503795603,13440,13440
1503796502,13547,13547
1503797403,13706,13706
1503798302,13784,13784
1503799202,13824,13824
1503800102,13914,13914
1503801002,14057,14057
1503801902,14217,14217
1503802803,14337,14337
1503803702,14473,14473
1503804602,14553,14553
1503805502,14624,14624
1503806403,14686,14686
1503807302,14816,14816
1503808202,14858,14858
